r,header-size
1,321
2,355
3,387
4,420
5,454
6,486
7,519
8,552
9,585
10,618
11,652
12,684
13,717
14,750
15,783
16,816
17,849
18,882
19,915
20,948
21,981
22,1015
23,1047
24,1080
25,1113
26,1146
27,1179
28,1212
29,1245
30,1278
31,1312
32,1345
33,1377
34,1410
35,1443
36,1476
37,1509
38,1542
39,1575
40,1608
41,1641
42,1674
43,1707
44,1740
45,1773
46,1806
47,1839
48,1873
49,1905
50,1938
51,1971
52,2004
53,2037
54,2070
55,2104
56,2136
57,2169
58,2202
59,2236
60,2268
61,2301
62,2334
63,2367
64,2400
65,2434
66,2466
67,2499
68,2532
69,2566
70,2598
71,2631
72,2664
73,2697
74,2730
75,2764
76,2796
77,2829
78,2862
79,2896
80,2928
81,2961
82,2994
83,3027
84,3060
85,3093
86,3126
87,3159
88,3192
89,3225
90,3258
91,3292
92,3324
93,3357
94,3390
95,3423
96,3456
97,3490
98,3522
99,3555
100,3588
