r,avg. time, variance
1,2737281,6.783416E13
2,3481924,3.61716226E12
3,5517871,7.0761841E12
4,7672694,8.2305478E12
5,8723498,5.2058553E12
6,11532026,7.1717471E12
7,15082533,1.0658365E13
8,18465605,1.22201173E13
9,22278580,1.50545692E13
10,26142187,2.14189054E13
1,1184144,2.04800472E12
1,1034508,1.48891383E12
1,1223712,2.01617965E12
1,945707,1.43926008E12
2,1053044,5.5160398E10
3,1491030,8.2364678E10
4,1922872,1.32882735E11
5,2413252,1.31546849E11
6,2900281,1.29466204E11
7,3350861,1.71377164E11
8,3838265,1.33959877E11
9,4478721,2.94851117E11
10,4946865,2.52532163E11
